Block No	Threads	Block Size	Seq. Time	iBTM Time
14003065	14	191	4.33371ms	1.83642ms
14003070	14	77	3.126886ms	1.422995ms
14003088	14	321	10.735124ms	3.519297ms
14003091	14	274	10.889337ms	6.221555ms
14003093	14	38	2.672625ms	1.454244ms
14003105	14	98	2.534276ms	1.43812ms
14003132	14	755	8.264702ms	18.57275ms
14003172	14	84	3.830189ms	3.572673ms
14003222	14	267	11.012982ms	6.518704ms
14003237	14	168	6.793118ms	3.71252ms
14003248	14	24	1.066188ms	1.051759ms
14003316	14	504	10.334576ms	4.654866ms
14003351	14	94	3.698147ms	1.973841ms
14003391	14	96	3.946537ms	1.919899ms
14003395	14	305	12.52421ms	6.075023ms
14003409	14	261	6.795458ms	3.562265ms
14003410	14	8	290.899µs	281.435µs
14003412	14	83	2.406837ms	1.468839ms
14003414	14	691	9.786748ms	15.448296ms
14003430	14	428	11.688525ms	6.558578ms
14003485	14	211	6.459855ms	2.892935ms
14003500	14	120	4.761586ms	3.026855ms
14003518	14	343	11.732689ms	5.427679ms
14003541	14	102	4.29743ms	2.765046ms
14003549	14	110	3.189254ms	1.917121ms
14003561	14	169	3.707883ms	2.470568ms
14003570	14	75	2.24758ms	1.194195ms
14003573	14	383	14.51789ms	6.272113ms
14003587	14	133	5.135277ms	2.422144ms
14003601	14	137	2.050167ms	1.507249ms
14003611	14	35	1.254677ms	1.228561ms
14003613	14	10	567.065µs	567.624µs
14003618	14	56	2.899599ms	1.623761ms
14003664	14	80	2.629175ms	3.143044ms
14003666	14	328	9.231256ms	3.958001ms
14003673	14	378	10.752075ms	4.150918ms
14003679	14	309	8.576389ms	3.709982ms
14003681	14	67	1.603512ms	1.879026ms
14003688	14	227	8.248223ms	3.052854ms
14003704	14	82	757.4µs	822.427µs
14003719	14	280	10.265442ms	3.785133ms
14003730	14	279	8.615122ms	5.215831ms
14003766	14	263	9.096935ms	3.823205ms
14003807	14	0	358ns	637ns
14003812	14	87	3.621968ms	2.495958ms
14003819	14	166	5.39324ms	3.818345ms
14003839	14	187	4.75818ms	2.64119ms
14003842	14	89	3.894869ms	1.640733ms
14003925	14	181	3.884192ms	3.445439ms
14003951	14	33	718.673µs	707.752µs
14003960	14	72	2.432633ms	1.230132ms
14003979	14	49	1.380215ms	1.385ms
14004016	14	201	6.58548ms	22.22393ms
14004037	14	173	4.639707ms	6.031686ms
14004047	14	245	6.176897ms	7.730512ms
14004069	14	28	813.392µs	817.263µs
14004076	14	207	6.261017ms	3.750396ms
14004139	14	245	5.218465ms	3.303854ms
14004153	14	176	5.379563ms	4.117173ms
14004219	14	187	5.43391ms	2.355229ms
14004221	14	405	13.089685ms	6.69719ms
14004227	14	38	1.485397ms	1.490428ms
14004236	14	181	6.214423ms	2.52381ms
14004264	14	469	9.125744ms	3.78098ms
14004267	14	60	1.940562ms	1.219133ms
14004274	14	443	12.651355ms	4.809194ms
14004292	14	115	3.554274ms	1.820956ms
14004313	14	190	5.982181ms	2.131186ms
14004318	14	0	330ns	330ns
14004321	14	66	2.11834ms	979.565µs
14004354	14	337	12.643029ms	4.519327ms
14004401	14	119	3.492843ms	1.50028ms
14004429	14	47	905.561µs	897.212µs
14004462	14	98	2.316532ms	1.209065ms
14004483	14	388	10.175685ms	3.459405ms
14004522	14	690	8.052482ms	7.199648ms
14004524	14	118	3.090951ms	2.096744ms
14004529	14	192	4.962975ms	2.495856ms
14004558	14	340	14.176592ms	5.864053ms
14004559	14	99	2.659529ms	1.498351ms
14004565	14	100	4.814634ms	16.160126ms
14004574	14	472	8.848072ms	7.701313ms
14004599	14	170	5.565301ms	3.44538ms
