Block No	Threads	Block Size	Seq. Time	iBTM Time
14003065	14	191	4.396752ms	2.428167ms
14003070	14	77	2.510959ms	1.121045ms
14003088	14	321	10.461313ms	3.689029ms
14003091	14	274	10.75417ms	5.420637ms
14003093	14	38	2.65129ms	1.316137ms
14003105	14	98	2.673131ms	3.097345ms
14003132	14	755	8.30576ms	16.647925ms
14003172	14	84	3.370313ms	2.249833ms
14003222	14	267	9.580615ms	4.406924ms
14003237	14	168	6.411253ms	2.867051ms
14003248	14	24	1.15401ms	1.089371ms
14003316	14	504	12.213141ms	7.283236ms
14003351	14	94	4.0773ms	2.584243ms
14003391	14	96	4.032292ms	2.453933ms
14003395	14	305	12.274631ms	4.845835ms
14003409	14	261	6.373389ms	3.218099ms
14003410	14	8	275.844µs	269.23µs
14003412	14	83	2.270253ms	1.043054ms
14003414	14	691	9.435279ms	14.988007ms
14003430	14	428	11.536624ms	5.255531ms
14003485	14	211	6.166571ms	2.239317ms
14003500	14	120	4.501803ms	1.768355ms
14003518	14	343	11.309767ms	5.077793ms
14003541	14	102	3.943065ms	2.273512ms
14003549	14	110	3.315196ms	1.948493ms
14003561	14	169	3.826245ms	2.358139ms
14003570	14	75	2.43343ms	2.577369ms
14003573	14	383	14.85643ms	6.825298ms
14003587	14	133	4.931012ms	2.745338ms
14003601	14	137	2.018879ms	1.634501ms
14003611	14	35	1.195112ms	1.198472ms
14003613	14	10	576.967µs	582.974µs
14003618	14	56	2.355109ms	1.220507ms
14003664	14	80	2.108999ms	1.836949ms
14003666	14	328	10.097855ms	4.306049ms
14003673	14	378	10.276054ms	4.397591ms
14003679	14	309	9.220156ms	3.920675ms
14003681	14	67	1.426037ms	974.84µs
14003688	14	227	7.963183ms	3.54803ms
14003704	14	82	828.431µs	811.792µs
14003719	14	280	10.933775ms	6.02265ms
14003730	14	279	8.551231ms	4.460266ms
14003766	14	263	9.011311ms	3.457398ms
14003807	14	0	346ns	347ns
14003812	14	87	3.51171ms	1.301309ms
14003819	14	166	4.942503ms	1.743091ms
14003839	14	187	4.640775ms	1.617795ms
14003842	14	89	3.86474ms	1.281743ms
14003925	14	181	4.756975ms	3.058674ms
14003951	14	33	700.485µs	720.967µs
14003960	14	72	2.41068ms	1.55867ms
14003979	14	49	1.396858ms	1.43012ms
14004016	14	201	6.448861ms	16.693605ms
14004037	14	173	5.590095ms	6.112053ms
14004047	14	245	6.021338ms	4.259081ms
14004069	14	28	785.196µs	791.165µs
14004076	14	207	5.602561ms	2.259088ms
14004139	14	245	5.255877ms	2.30216ms
14004153	14	176	5.58547ms	4.120781ms
14004219	14	187	5.926511ms	3.055145ms
14004221	14	405	13.022359ms	5.806702ms
14004227	14	38	1.544339ms	1.546219ms
14004236	14	181	6.26291ms	2.170812ms
14004264	14	469	9.142043ms	3.48477ms
14004267	14	60	1.82711ms	788.126µs
14004274	14	443	12.717273ms	4.813721ms
14004292	14	115	3.586045ms	1.671421ms
14004313	14	190	6.20263ms	1.96614ms
14004318	14	0	355ns	392ns
14004321	14	66	2.170429ms	993.854µs
14004354	14	337	13.55321ms	6.108625ms
14004401	14	119	3.554663ms	1.577092ms
14004429	14	47	913.137µs	922.858µs
14004462	14	98	2.364778ms	1.227256ms
14004483	14	388	10.808865ms	5.265395ms
14004522	14	690	7.865057ms	9.10675ms
14004524	14	118	3.115655ms	1.643718ms
14004529	14	192	5.0563ms	2.594903ms
14004558	14	340	13.938102ms	6.3227ms
14004559	14	99	2.608373ms	1.365295ms
14004565	14	100	4.521978ms	14.870778ms
14004574	14	472	8.786015ms	8.372101ms
14004599	14	170	5.643883ms	3.403862ms
14004635	14	436	13.64811ms	5.221018ms
14004651	14	106	2.591347ms	1.110788ms
14004653	14	435	11.75471ms	4.610017ms
14004713	14	132	3.207229ms	1.723809ms
14004715	14	81	1.721423ms	961.214µs
14004782	14	373	10.30238ms	5.422015ms
14004788	14	53	1.741661ms	1.722481ms
14004792	14	350	14.757494ms	6.037903ms
14004794	14	207	9.195163ms	3.269771ms
14004810	14	137	2.634822ms	1.597566ms
14004814	14	30	1.200495ms	1.216645ms
14004832	14	23	103.982µs	107.491µs
14004833	14	205	7.488423ms	3.053696ms
14004850	14	253	5.485732ms	2.678477ms
14004854	14	62	2.96724ms	1.851968ms
14004861	14	177	5.561352ms	2.125376ms
14004890	14	322	7.659486ms	4.327964ms
14004892	14	154	2.741643ms	1.457044ms
14004894	14	88	4.527886ms	2.906121ms
14004977	14	104	2.908997ms	1.593979ms
14004983	14	185	6.090213ms	2.05699ms
21631009	14	177	5.72556ms	2.135202ms
21631021	14	149	6.477059ms	5.969515ms
21631037	14	221	7.087272ms	3.24288ms
21631051	14	108	7.027215ms	4.927112ms
21631060	14	243	9.72517ms	4.268299ms
21631065	14	249	8.239668ms	2.599305ms
21631115	14	174	7.869172ms	2.84245ms
21631117	14	166	6.043991ms	1.877884ms
21631144	14	157	8.726729ms	3.50528ms
21631187	14	157	6.534752ms	3.252545ms
21631212	14	139	5.32113ms	2.326502ms
21631225	14	176	6.599738ms	2.930978ms
21631228	14	169	6.42074ms	1.801846ms
21631256	14	177	6.4006ms	2.618012ms
21631258	14	161	6.37572ms	2.51963ms
21631269	14	147	5.164135ms	2.382446ms
21631299	14	69	1.324422ms	1.308694ms
21631322	14	182	5.504392ms	2.619626ms
21631328	14	162	8.852839ms	3.415286ms
21631329	14	133	5.056129ms	2.808549ms
21631341	14	116	5.089894ms	1.975802ms
21631361	14	251	11.280468ms	4.907353ms
21631375	14	215	9.371852ms	3.790559ms
21631381	14	213	7.347541ms	3.104003ms
21631391	14	110	4.822227ms	2.016666ms
21631395	14	162	6.31677ms	3.324408ms
21631399	14	157	5.65853ms	2.192134ms
21631403	14	226	9.819818ms	4.055318ms
21631405	14	141	5.049716ms	2.607039ms
21631421	14	148	7.07078ms	2.807751ms
21631449	14	204	9.0739ms	5.03251ms
21631466	14	172	7.242737ms	2.804854ms
21631489	14	190	7.932324ms	4.049ms
21631499	14	148	7.796425ms	2.88181ms
21631525	14	239	10.183314ms	3.613258ms
21631533	14	178	5.624673ms	2.425822ms
21631557	14	302	13.168895ms	5.19599ms
21631611	14	160	5.402181ms	3.871476ms
21631640	14	133	5.46931ms	3.12176ms
21631654	14	217	7.044329ms	3.336417ms
21631655	14	158	5.158288ms	2.744158ms
21631662	14	254	4.966247ms	4.574274ms
21631673	14	175	5.233775ms	2.254269ms
21631707	14	188	7.335977ms	4.68224ms
21631778	14	212	7.186631ms	3.747547ms
21631794	14	320	8.069998ms	3.004285ms
21631795	14	188	6.604164ms	4.096325ms
21631798	14	221	6.28956ms	2.279557ms
21631857	14	308	8.958424ms	4.42907ms
21631902	14	116	4.830254ms	2.856666ms
21631908	14	205	8.557619ms	2.765455ms
