Block No	Threads	Tx Count	Execution Time (ms)	Success Rate
14003719	16	280	2.08	100.0%
14003730	16	279	2.32	100.0%
14003766	16	263	2.06	100.0%
14003807	16	0	0.00	0.0%
14003812	16	87	1.15	100.0%
14003819	16	166	1.26	100.0%
14003839	16	187	1.33	100.0%
14003842	16	89	0.79	100.0%
14003925	16	181	1.45	100.0%
14003951	16	33	0.32	100.0%
14003960	16	72	0.60	100.0%
14003979	16	49	0.37	100.0%
14004016	16	201	1.66	100.0%
14004037	16	173	1.28	100.0%
14004047	16	245	1.92	100.0%
14004069	16	28	0.55	100.0%
14004076	16	207	2.04	100.0%
14004139	16	245	1.92	100.0%
14004153	16	176	1.42	100.0%
14004219	16	187	1.67	100.0%
14004221	16	405	3.05	100.0%
14004227	16	38	0.42	100.0%
14004236	16	181	1.52	100.0%
14004264	16	469	3.42	100.0%
14004267	16	60	0.53	100.0%
14004274	16	443	3.08	100.0%
14004292	16	115	1.36	100.0%
14004313	16	190	1.61	100.0%
14004318	16	0	0.00	0.0%
14004321	16	66	0.54	100.0%
14004354	16	337	2.70	100.0%
14004401	16	119	0.99	100.0%
14004429	16	47	0.41	100.0%
14004462	16	98	0.90	100.0%
14004483	16	388	2.99	100.0%
14004522	16	690	4.26	100.0%
14004524	16	118	0.87	100.0%
14004529	16	192	1.78	100.0%
14004558	16	340	2.80	100.0%
14004559	16	99	1.85	100.0%
14004565	16	100	1.14	100.0%
14004574	16	472	4.12	100.0%
14004599	16	170	1.66	100.0%
14004635	16	436	3.47	100.0%
14004651	16	106	0.87	100.0%
14004653	16	435	3.23	100.0%
14004713	16	132	1.50	100.0%
14004715	16	81	0.67	100.0%
14004782	16	373	2.91	100.0%
14004788	16	53	0.51	100.0%
14004792	16	350	3.08	100.0%
14004794	16	207	2.25	100.0%
14004810	16	137	1.05	100.0%
14004814	16	30	0.65	100.0%
14004832	16	23	0.24	100.0%
14004833	16	205	1.75	100.0%
14004850	16	253	2.79	100.0%
14004854	16	62	0.52	100.0%
14004861	16	177	1.39	100.0%
14004890	16	322	2.27	100.0%
14004892	16	154	1.15	100.0%
14004894	16	88	1.57	100.0%
14004977	16	104	0.81	100.0%
14004983	16	185	1.52	99.5%
21631009	16	177	3.42	100.0%
21631021	16	149	1.34	100.0%
21631037	16	221	1.79	100.0%
21631051	16	108	0.98	100.0%
21631060	16	243	1.98	99.6%
21631065	16	249	1.88	100.0%
21631115	16	174	1.94	100.0%
21631117	16	166	1.27	100.0%
21631144	16	157	1.54	100.0%
21631187	16	157	1.31	100.0%
21631212	16	139	1.12	100.0%
21631225	16	176	2.39	100.0%
21631228	16	169	1.30	100.0%
21631256	16	177	1.32	100.0%
21631258	16	161	1.27	100.0%
21631269	16	147	1.22	100.0%
21631299	16	69	0.55	100.0%
21631322	16	182	1.47	100.0%
21631328	16	162	2.49	100.0%
21631329	16	133	1.10	100.0%
21631341	16	116	1.56	100.0%
21631361	16	251	2.04	100.0%
21631375	16	215	1.68	100.0%
21631381	16	213	2.31	100.0%
21631391	16	110	0.88	100.0%
21631395	16	162	1.29	100.0%
21631399	16	157	1.19	100.0%
21631403	16	226	1.88	100.0%
21631405	16	141	1.15	100.0%
21631421	16	148	2.10	100.0%
21631449	16	204	1.72	100.0%
21631466	16	172	1.54	99.4%
21631489	16	190	1.40	100.0%
21631499	16	148	1.27	100.0%
21631525	16	239	1.93	100.0%
21631533	16	178	1.69	100.0%
21631557	16	302	2.40	100.0%
21631611	16	160	1.55	100.0%
21631640	16	133	1.14	100.0%
21631654	16	217	1.67	100.0%
21631655	16	158	1.40	100.0%
21631662	16	254	1.73	100.0%
21631673	16	175	1.73	100.0%
21631707	16	188	1.44	100.0%
21631778	16	212	1.50	100.0%
21631794	16	320	2.32	100.0%
21631795	16	188	1.48	100.0%
21631798	16	221	1.74	99.5%
21631857	16	308	6.40	100.0%
21631902	16	116	0.92	100.0%
21631908	16	205	6.03	100.0%
21631918	16	108	0.94	100.0%
21631922	16	158	1.23	100.0%
21631924	16	163	1.30	100.0%
21631925	16	148	1.15	100.0%
21631937	16	154	1.29	100.0%
21631938	16	289	2.05	100.0%
21631940	16	156	1.23	100.0%
21631971	16	134	1.01	100.0%
21631983	16	101	0.93	100.0%
21631986	16	191	1.76	100.0%
21632006	16	280	2.19	100.0%
21632017	16	55	0.50	100.0%
21632033	16	178	1.37	100.0%
21632051	16	139	1.07	100.0%
21632053	16	107	0.83	100.0%
21632055	16	65	0.60	100.0%
21632080	16	173	1.21	100.0%
21632090	16	166	1.31	100.0%
21632179	16	227	1.85	100.0%
21632191	16	63	0.55	100.0%
21632210	16	208	2.85	100.0%
21632220	16	173	1.44	100.0%
21632248	16	202	1.48	100.0%
21632264	16	148	1.06	100.0%
21632277	16	97	0.71	100.0%
21632280	16	227	1.95	100.0%
21632289	16	228	1.78	99.6%
21632301	16	146	1.10	100.0%
21632302	16	161	2.24	100.0%
21632321	16	191	1.47	100.0%
21632323	16	234	1.81	100.0%
21632374	16	114	1.04	100.0%
21632388	16	215	2.02	100.0%
21632427	16	298	2.34	100.0%
21632465	16	183	1.41	100.0%
21632495	16	244	1.91	100.0%
21632496	16	179	1.37	100.0%
21632524	16	166	1.29	100.0%
21632539	16	202	1.62	100.0%
21632612	16	131	1.11	100.0%
21632615	16	192	2.01	100.0%
21632635	16	333	2.44	100.0%
21632663	16	181	1.48	100.0%
21632673	16	200	1.65	100.0%
21632677	16	167	1.83	100.0%
21632679	16	167	1.46	100.0%
21632693	16	188	1.82	100.0%
21632751	16	225	1.95	100.0%
21632761	16	53	1.00	100.0%
21632835	16	181	1.71	100.0%
21632879	16	137	1.12	100.0%
21632889	16	230	1.75	100.0%
21632907	16	134	1.77	99.3%
21632935	16	168	2.12	100.0%
21632952	16	129	1.65	100.0%
21632980	16	170	1.34	100.0%
21632995	16	248	1.86	100.0%
21633042	16	248	1.81	100.0%
21633064	16	131	1.08	100.0%
21633074	16	188	1.51	100.0%
21633101	16	203	1.62	100.0%
21633103	16	175	1.35	100.0%
21633114	16	209	1.59	100.0%
21633122	16	130	1.60	100.0%
21633146	16	156	1.21	100.0%
21633163	16	243	1.96	100.0%
21633186	16	199	1.49	100.0%
21633207	16	161	1.24	100.0%
21633212	16	80	1.00	100.0%
21633243	16	237	2.09	100.0%
21633254	16	141	1.23	100.0%
21633268	16	192	1.58	99.5%
21633342	16	174	1.63	100.0%
21633351	16	173	1.60	100.0%
21633376	16	160	1.44	100.0%
21633394	16	245	2.28	100.0%
21633416	16	202	1.63	100.0%
