Block No	Threads	Tx Count	Execution Time (ms)	Success Rate
18000186	16	123	1.89	0.0%
18000187	16	176	2.19	0.0%
18000188	16	144	1.74	0.0%
18000189	16	117	2.37	0.0%
18000190	16	104	1.95	0.0%
18000191	16	137	1.84	0.0%
18000192	16	141	1.85	0.0%
18000193	16	498	9.02	0.0%
18000194	16	149	2.82	0.0%
18000195	16	107	2.01	0.0%
18000196	16	169	3.39	0.0%
18000197	16	147	2.03	0.0%
18000198	16	154	2.30	0.0%
18000199	16	168	2.90	0.0%
18000200	16	230	6.03	0.0%
18000201	16	118	1.89	0.0%
18000202	16	134	3.14	0.0%
18000203	16	123	2.75	0.0%
18000204	16	202	4.05	0.0%
18000205	16	127	2.73	0.0%
18000206	16	121	2.11	0.0%
18000207	16	184	3.50	0.0%
18000208	16	114	1.78	0.0%
18000209	16	145	2.85	0.0%
18000210	16	135	2.35	0.0%
18000211	16	129	1.86	0.0%
18000212	16	166	3.59	0.0%
18000213	16	149	1.54	0.0%
18000214	16	123	1.49	0.0%
18000215	16	149	3.52	0.0%
18000216	16	136	1.54	0.0%
18000217	16	157	3.02	0.0%
18000218	16	173	2.97	0.0%
18000219	16	147	1.90	0.0%
18000220	16	151	4.33	0.0%
18000221	16	109	1.71	0.0%
18000222	16	221	2.63	0.0%
18000223	16	144	1.51	0.0%
18000224	16	145	2.22	0.0%
18000225	16	214	3.56	0.0%
18000226	16	166	2.51	0.0%
18000227	16	149	2.14	0.0%
18000228	16	146	3.32	0.0%
18000229	16	131	1.78	0.0%
18000230	16	116	2.76	0.0%
18000231	16	126	2.25	0.0%
18000232	16	164	2.43	0.0%
18000233	16	158	1.60	0.0%
18000234	16	127	2.77	0.0%
18000235	16	135	2.79	0.0%
18000236	16	118	1.59	0.0%
18000237	16	158	2.62	0.0%
18000238	16	112	3.09	0.0%
18000239	16	123	3.21	0.0%
18000240	16	125	2.69	0.0%
18000241	16	126	1.37	0.0%
18000242	16	176	2.86	0.0%
18000243	16	116	2.58	0.0%
18000244	16	124	2.12	0.0%
18000245	16	103	2.38	0.0%
18000246	16	131	1.83	0.0%
18000247	16	120	3.00	0.0%
18000248	16	136	2.40	0.0%
18000249	16	100	2.10	0.0%
18000250	16	152	3.26	0.0%
18000251	16	132	1.96	0.0%
18000252	16	176	2.83	0.0%
18000253	16	184	2.63	0.0%
18000254	16	148	2.81	0.0%
18000255	16	128	2.95	0.0%
18000256	16	126	3.60	0.0%
18000257	16	131	3.05	0.0%
18000258	16	117	1.81	0.0%
18000259	16	136	2.48	0.0%
18000260	16	120	3.04	0.0%
18000261	16	119	2.11	0.0%
18000262	16	136	1.91	0.0%
18000263	16	148	2.54	0.0%
18000264	16	172	2.69	0.0%
18000265	16	88	3.32	0.0%
18000266	16	168	2.51	0.0%
18000267	16	148	2.54	0.0%
18000268	16	133	1.99	0.0%
18000269	16	155	3.00	0.0%
18000270	16	105	3.31	0.0%
18000271	16	125	2.79	0.0%
18000272	16	171	2.63	0.0%
18000273	16	114	2.73	0.0%
18000274	16	147	2.24	0.0%
18000275	16	160	2.97	0.0%
18000276	16	120	2.38	0.0%
18000277	16	143	2.15	0.0%
18000278	16	113	1.72	0.0%
18000279	16	119	2.40	0.0%
18000280	16	109	2.93	0.0%
18000281	16	128	2.01	0.0%
18000282	16	176	2.69	0.0%
18000283	16	105	2.20	0.0%
18000284	16	133	2.67	0.0%
18000285	16	125	2.41	0.0%
18000286	16	116	2.31	0.0%
18000287	16	113	2.27	0.0%
18000288	16	122	2.02	0.0%
18000289	16	133	3.01	0.0%
18000290	16	115	2.36	0.0%
18000291	16	149	3.28	0.0%
18000292	16	114	1.62	0.0%
18000293	16	129	2.25	0.0%
18000294	16	167	2.42	0.0%
18000295	16	122	2.43	0.0%
18000296	16	157	2.98	0.0%
18000297	16	237	2.86	0.0%
18000298	16	147	2.60	0.0%
18000299	16	156	4.00	0.0%
18000300	16	117	2.76	0.0%
18000301	16	108	3.15	0.0%
18000302	16	131	1.98	0.0%
18000303	16	129	1.69	0.0%
18000304	16	157	2.31	0.0%
18000305	16	122	2.37	0.0%
18000306	16	133	3.84	0.0%
18000307	16	218	2.80	0.0%
18000308	16	118	1.85	0.0%
18000309	16	108	1.82	0.0%
18000310	16	135	2.82	0.0%
18000311	16	110	1.91	0.0%
18000312	16	182	2.44	0.0%
18000313	16	120	3.08	0.0%
18000314	16	105	1.81	0.0%
18000315	16	128	2.38	0.0%
18000316	16	111	1.85	0.0%
18000317	16	140	2.57	0.0%
18000318	16	148	3.34	0.0%
18000319	16	165	4.32	0.0%
18000320	16	140	2.97	0.0%
18000321	16	119	2.02	0.0%
18000322	16	155	2.39	0.0%
18000323	16	153	3.01	0.0%
18000324	16	147	5.00	0.0%
18000325	16	150	2.33	0.0%
18000326	16	92	1.35	0.0%
18000327	16	169	3.18	0.0%
18000328	16	125	1.66	0.0%
18000329	16	127	3.33	0.0%
18000330	16	101	2.12	0.0%
18000331	16	161	1.91	0.0%
18000332	16	139	2.58	0.0%
18000333	16	142	1.68	0.0%
18000334	16	125	2.75	0.0%
18000335	16	120	3.55	0.0%
18000336	16	178	2.54	0.0%
18000337	16	156	3.10	0.0%
18000338	16	120	2.78	0.0%
18000339	16	131	1.88	0.0%
18000340	16	127	2.39	0.0%
18000341	16	119	3.44	0.0%
18000342	16	457	5.41	0.0%
18000343	16	143	2.60	0.0%
18000344	16	156	3.56	0.0%
18000345	16	145	3.74	0.0%
18000346	16	136	1.82	0.0%
18000347	16	154	2.91	0.0%
18000348	16	119	2.38	0.0%
18000349	16	161	2.38	0.0%
18000350	16	127	2.10	0.0%
18000351	16	101	1.52	0.0%
18000352	16	160	3.43	0.0%
18000353	16	123	2.94	0.0%
18000354	16	161	3.54	0.0%
18000355	16	150	2.59	0.0%
18000356	16	139	1.71	0.0%
18000357	16	164	3.46	0.0%
18000358	16	103	1.48	0.0%
18000359	16	116	2.44	0.0%
18000360	16	150	2.07	0.0%
18000361	16	136	1.98	0.0%
18000362	16	153	2.93	0.0%
18000363	16	136	2.71	0.0%
18000364	16	133	2.23	0.0%
18000365	16	188	3.42	0.0%
18000366	16	106	2.89	0.0%
18000367	16	133	2.50	0.0%
18000368	16	112	3.53	0.0%
18000369	16	122	2.25	0.0%
18000370	16	135	2.19	0.0%
18000371	16	127	1.41	0.0%
18000372	16	156	2.62	0.0%
18000373	16	205	3.98	0.0%
18000374	16	118	1.84	0.0%
18000375	16	155	3.65	0.0%
18000376	16	119	2.59	0.0%
18000377	16	129	2.78	0.0%
18000378	16	134	2.06	0.0%
18000379	16	80	1.50	0.0%
18000380	16	162	3.70	0.0%
18000381	16	137	3.34	0.0%
18000382	16	135	3.47	0.0%
18000383	16	163	2.54	0.0%
18000384	16	132	2.08	0.0%
18000385	16	120	2.47	0.0%
18000386	16	131	2.39	0.0%
18000387	16	136	3.10	0.0%
18000388	16	124	1.93	0.0%
18000389	16	130	2.50	0.0%
18000390	16	124	2.10	0.0%
18000391	16	131	1.96	0.0%
18000392	16	172	2.32	0.0%
18000393	16	113	2.05	0.0%
18000394	16	145	2.47	0.0%
18000395	16	124	4.73	0.0%
18000396	16	121	2.68	0.0%
18000397	16	130	3.67	0.0%
18000398	16	126	2.11	0.0%
18000399	16	149	2.40	0.0%
18000400	16	104	3.03	0.0%
18000401	16	123	3.27	0.0%
18000402	16	186	3.96	0.0%
18000403	16	161	4.07	0.0%
18000404	16	104	1.87	0.0%
18000405	16	151	3.26	0.0%
18000406	16	120	2.45	0.0%
18000407	16	195	5.16	0.0%
18000408	16	125	2.92	0.0%
18000409	16	153	4.99	0.0%
18000410	16	106	3.36	0.0%
18000411	16	123	2.50	0.0%
18000412	16	212	4.53	0.0%
18000413	16	151	5.56	0.0%
18000414	16	140	2.38	0.0%
18000415	16	126	2.69	0.0%
18000416	16	127	2.79	0.0%
18000417	16	150	2.25	0.0%
18000418	16	140	2.65	0.0%
18000419	16	143	2.18	0.0%
