Block No	Threads	Block Size	Seq. Time	iBTM Time
14003053	16	25	508.155µs	506.268µs
14003065	16	191	11.288282ms	3.033533ms
14003070	16	77	6.153391ms	1.517802ms
14003088	16	321	25.414428ms	6.030409ms
14003091	16	274	26.772333ms	18.648008ms
14003093	16	38	6.154342ms	2.685778ms
14003105	16	98	6.609287ms	2.797981ms
14003132	16	755	20.308521ms	12.143927ms
14003172	16	84	8.082006ms	2.360506ms
14003222	16	267	22.838684ms	5.330338ms
14003237	16	168	15.98836ms	3.896181ms
14003248	16	24	2.511849ms	2.481268ms
14003316	16	504	23.969291ms	6.208526ms
14003351	16	94	8.588004ms	2.240305ms
14003391	16	96	9.312555ms	2.736742ms
14003395	16	305	30.386493ms	12.146688ms
14003409	16	261	15.544508ms	3.419836ms
14003410	16	8	636.27µs	632.352µs
14003412	16	83	5.509346ms	1.56226ms
14003414	16	691	23.501412ms	10.907279ms
14003430	16	428	26.684008ms	9.061175ms
14003485	16	211	15.074878ms	4.825705ms
14003500	16	120	11.294806ms	3.316106ms
14003518	16	343	26.947034ms	10.391556ms
14003541	16	102	9.437094ms	2.321154ms
14003549	16	110	7.835917ms	2.020497ms
14003561	16	169	8.885049ms	2.552102ms
14003570	16	75	5.263567ms	1.34375ms
14003573	16	383	35.889936ms	13.088449ms
14003587	16	133	12.172928ms	3.676889ms
14003601	16	137	4.796724ms	1.89733ms
14003611	16	35	2.641686ms	2.640221ms
14003613	16	10	1.335537ms	1.330121ms
14003618	16	56	5.536878ms	1.716522ms
14003664	16	80	4.772192ms	2.014529ms
14003666	16	328	21.723791ms	4.564299ms
14003673	16	378	24.003106ms	6.014916ms
14003679	16	309	20.571444ms	4.160369ms
14003681	16	67	3.535277ms	1.858582ms
14003688	16	227	19.652983ms	3.736134ms
14003704	16	82	1.906791ms	1.855155ms
14003719	16	280	24.631447ms	4.89872ms
14003730	16	279	19.919286ms	3.90262ms
14003766	16	263	23.11328ms	4.918073ms
14003807	16	0	789ns	781ns
14003812	16	87	8.518869ms	2.249105ms
14003819	16	166	11.902363ms	4.173643ms
14003839	16	187	11.341028ms	2.474076ms
14003842	16	89	9.77997ms	2.97524ms
14003925	16	181	8.955252ms	3.567169ms
14003951	16	33	1.53133ms	1.524768ms
14003960	16	72	5.713451ms	1.876332ms
14003979	16	49	3.146457ms	3.142667ms
14004016	16	201	15.843455ms	22.190923ms
14004037	16	173	11.661624ms	6.588016ms
14004047	16	245	15.211619ms	7.017753ms
14004069	16	28	1.930158ms	1.905037ms
14004076	16	207	14.030915ms	4.630253ms
14004139	16	245	13.121715ms	3.074005ms
14004153	16	176	14.442307ms	8.222998ms
14004219	16	187	14.646194ms	6.371657ms
14004221	16	405	32.001981ms	19.683841ms
14004227	16	38	3.684728ms	3.684078ms
14004236	16	181	15.94659ms	3.390657ms
14004264	16	469	22.481722ms	8.775876ms
14004267	16	60	4.366987ms	1.774293ms
14004274	16	443	31.090479ms	9.193246ms
14004292	16	115	9.650959ms	3.695781ms
14004313	16	190	15.373947ms	3.901169ms
14004318	16	0	894ns	884ns
14004321	16	66	5.069823ms	2.015135ms
14004354	16	337	31.838415ms	11.899842ms
14004401	16	119	9.124572ms	2.567581ms
14004429	16	47	2.034781ms	2.037675ms
14004462	16	98	5.473708ms	1.63182ms
14004483	16	388	24.654024ms	5.609138ms
14004522	16	690	20.536217ms	9.26974ms
14004524	16	118	7.42801ms	2.166996ms
14004529	16	192	12.161793ms	3.903478ms
14004558	16	340	34.921613ms	19.530914ms
14004559	16	99	6.334874ms	2.149382ms
14004565	16	100	11.616845ms	30.480651ms
14004574	16	472	24.761503ms	14.872523ms
14004599	16	170	14.334463ms	8.802514ms
14004635	16	436	36.052361ms	18.004944ms
14004651	16	106	6.414263ms	1.655869ms
14004653	16	435	29.508432ms	11.867114ms
14004713	16	132	7.58311ms	2.834284ms
14004715	16	81	3.936428ms	1.478155ms
14004782	16	373	23.622744ms	5.018092ms
14004788	16	53	3.976037ms	3.972067ms
14004792	16	350	34.527341ms	14.803925ms
14004794	16	207	23.151443ms	6.052285ms
14004810	16	137	6.482339ms	2.692267ms
14004814	16	30	3.18115ms	3.118769ms
14004832	16	23	270.254µs	269.599µs
14004833	16	205	18.603427ms	4.581652ms
14004850	16	253	13.172237ms	2.828477ms
14004854	16	62	6.912252ms	2.810521ms
14004861	16	177	14.109212ms	4.352154ms
14004890	16	322	19.353798ms	7.19063ms
14004892	16	154	6.700399ms	2.312541ms
14004894	16	88	11.59569ms	9.64894ms
14004977	16	104	6.855288ms	1.802305ms
14004983	16	185	15.115847ms	3.885056ms
21631009	16	177	15.784812ms	5.629552ms
21631021	16	149	16.10195ms	10.744361ms
21631037	16	221	17.628653ms	4.592091ms
21631051	16	108	18.047603ms	12.077748ms
21631060	16	243	25.814531ms	7.894864ms
21631065	16	249	20.589657ms	5.838935ms
21631115	16	174	19.159758ms	4.54908ms
21631117	16	166	15.15466ms	3.214944ms
21631144	16	157	22.141829ms	6.54281ms
21631187	16	157	17.402225ms	7.681033ms
21631212	16	139	13.048843ms	3.901ms
21631225	16	176	16.63311ms	6.291838ms
21631228	16	169	15.99289ms	3.321193ms
21631256	16	177	16.485112ms	3.938474ms
21631258	16	161	15.41352ms	4.060827ms
21631269	16	147	12.626949ms	2.982907ms
21631299	16	69	3.022673ms	3.017699ms
21631322	16	182	13.614494ms	4.163869ms
21631328	16	162	22.158981ms	7.502621ms
21631329	16	133	12.760305ms	4.39558ms
21631341	16	116	12.171512ms	4.257252ms
21631361	16	251	25.65156ms	6.075261ms
21631375	16	215	24.695665ms	7.278386ms
21631381	16	213	18.349051ms	3.800682ms
21631391	16	110	12.260543ms	3.720287ms
21631395	16	162	15.117924ms	4.132949ms
21631399	16	157	13.889226ms	2.981084ms
21631403	16	226	25.592763ms	8.665904ms
21631405	16	141	12.400475ms	3.206697ms
21631421	16	148	18.219038ms	7.914032ms
21631449	16	204	19.192558ms	5.118478ms
21631466	16	172	18.18692ms	4.665942ms
21631489	16	190	19.232436ms	7.673921ms
21631499	16	148	19.456165ms	4.332476ms
21631525	16	239	25.854245ms	5.575574ms
21631533	16	178	14.049332ms	5.768947ms
21631557	16	302	32.122807ms	12.988379ms
21631611	16	160	13.15767ms	8.396223ms
21631640	16	133	13.685397ms	4.66816ms
21631654	16	217	16.887632ms	4.285968ms
21631655	16	158	12.563933ms	4.787283ms
21631662	16	254	11.653358ms	3.396054ms
21631673	16	175	13.413376ms	3.480679ms
21631707	16	188	16.355277ms	4.935747ms
21631778	16	212	17.240264ms	5.927898ms
21631794	16	320	20.417579ms	5.551717ms
21631795	16	188	16.47623ms	5.65564ms
21631798	16	221	15.807011ms	4.618007ms
21631857	16	308	22.622354ms	8.63324ms
21631902	16	116	11.648297ms	5.056533ms
21631908	16	205	22.097391ms	4.498412ms
21631918	16	108	9.363115ms	2.708719ms
21631922	16	158	21.06659ms	8.145192ms
21631924	16	163	16.098785ms	6.749767ms
21631925	16	148	13.369035ms	5.291992ms
21631937	16	154	15.749887ms	8.118613ms
21631938	16	289	23.637241ms	6.208795ms
21631940	16	156	14.144671ms	3.271597ms
21631971	16	134	9.381374ms	3.063124ms
21631983	16	101	13.6045ms	10.991575ms
21631986	16	191	16.67013ms	3.50232ms
21632006	16	280	34.488252ms	13.23137ms
21632017	16	55	5.707577ms	2.394162ms
21632033	16	178	22.416906ms	9.446149ms
21632051	16	139	13.175295ms	3.417382ms
21632053	16	107	23.554757ms	14.304689ms
21632055	16	65	3.711312ms	3.714386ms
21632080	16	173	12.947762ms	4.145877ms
21632090	16	166	17.176704ms	3.992636ms
21632179	16	227	28.361735ms	6.666197ms
21632191	16	63	11.432025ms	9.957599ms
21632210	16	208	33.684617ms	13.583766ms
