Block No	Threads	Block Size	Seq. Time	iBTM Time
14003088	14	321	9.626989ms	2.163124ms
14003091	14	274	10.332956ms	4.718744ms
14003093	14	38	2.54722ms	1.166919ms
14003105	14	98	2.379867ms	1.118095ms
14003132	14	755	7.268195ms	7.490365ms
14003172	14	84	3.14079ms	1.002138ms
14003222	14	267	8.710399ms	2.047579ms
14003237	14	168	6.050989ms	2.113344ms
14003248	14	24	935.945µs	929.231µs
14003316	14	504	9.007ms	2.915225ms
14003351	14	94	3.371504ms	945.453µs
14003391	14	96	3.480741ms	1.09225ms
14003395	14	305	11.210474ms	3.688759ms
14003409	14	261	5.781489ms	1.614733ms
14003410	14	8	257.534µs	250.703µs
14003412	14	83	2.12125ms	711.363µs
14003414	14	691	8.609604ms	8.313998ms
14003430	14	428	10.373174ms	3.071074ms
14003485	14	211	5.835293ms	1.794061ms
14003500	14	120	4.383879ms	1.872806ms
14003518	14	343	12.998398ms	6.485971ms
14003541	14	102	3.607757ms	1.036553ms
14003549	14	110	3.036919ms	1.046655ms
14003561	14	169	3.439444ms	1.289147ms
14003570	14	75	2.133168ms	741.01µs
14003573	14	383	13.09477ms	4.514281ms
14003587	14	133	4.708472ms	1.770934ms
14003601	14	137	1.932308ms	1.217067ms
14003611	14	35	1.083734ms	1.105493ms
14003613	14	10	532.535µs	538.695µs
14003618	14	56	2.347821ms	1.439083ms
14003664	14	80	2.112234ms	2.076237ms
14003666	14	328	8.359214ms	2.803167ms
14003673	14	378	9.393039ms	2.996613ms
14003679	14	309	7.903439ms	2.124908ms
14003681	14	67	1.365068ms	732.673µs
14003688	14	227	7.785425ms	2.050437ms
14003704	14	82	721.154µs	698.94µs
14003719	14	280	10.018617ms	3.146844ms
14003730	14	279	7.431438ms	2.026071ms
14003766	14	263	8.589691ms	3.10016ms
14003807	14	0	312ns	305ns
14003812	14	87	3.329269ms	1.531455ms
14003819	14	166	4.739634ms	1.949615ms
14003839	14	187	4.384333ms	1.581536ms
14003842	14	89	3.734301ms	1.490607ms
14003925	14	181	3.615067ms	1.79747ms
14003951	14	33	638.7µs	637.781µs
14003960	14	72	2.34857ms	917.785µs
14003979	14	49	1.329769ms	1.297667ms
14004016	14	201	6.227828ms	11.488032ms
14004037	14	173	4.453825ms	3.67526ms
14004047	14	245	5.948267ms	4.784175ms
14004069	14	28	788.016µs	785.373µs
14004076	14	207	5.434098ms	1.903185ms
14004139	14	245	5.071804ms	2.102534ms
14004153	14	176	5.102275ms	2.783524ms
14004219	14	187	5.186805ms	2.053997ms
14004221	14	405	12.692625ms	5.621361ms
14004227	14	38	1.41837ms	1.419242ms
14004236	14	181	5.953319ms	2.070148ms
14004264	14	469	8.604525ms	2.98905ms
