Block No	Threads	Block Size	Seq. Time	iBTM Time
14003065	14	191	4.873987ms	2.437858ms
14003070	14	77	2.670535ms	1.01197ms
14003088	14	321	10.973095ms	3.879174ms
14003091	14	274	11.099507ms	6.220041ms
14003093	14	38	2.851901ms	1.408593ms
14003105	14	98	2.670345ms	1.434253ms
14003132	14	755	8.076229ms	10.510912ms
14003172	14	84	3.56152ms	1.405353ms
14003222	14	267	9.963412ms	3.156206ms
14003237	14	168	6.840256ms	2.822915ms
14003248	14	24	1.078828ms	1.087649ms
14003316	14	504	10.278236ms	3.634911ms
14003351	14	94	4.011457ms	1.588777ms
14003391	14	96	3.999097ms	1.74699ms
14003395	14	305	12.708803ms	5.066542ms
14003409	14	261	6.76263ms	4.565502ms
14003410	14	8	301.262µs	300.019µs
14003412	14	83	2.448181ms	1.177487ms
14003414	14	691	9.664693ms	11.329564ms
14003430	14	428	11.32735ms	4.333244ms
14003485	14	211	6.610683ms	2.749988ms
14003500	14	120	4.608544ms	1.868038ms
14003518	14	343	11.571535ms	5.148127ms
14003541	14	102	3.974563ms	1.513589ms
14003549	14	110	3.256498ms	1.403723ms
14003561	14	169	3.774657ms	1.805449ms
14003570	14	75	2.353396ms	831.999µs
14003573	14	383	14.967948ms	6.036835ms
14003587	14	133	5.124041ms	1.80633ms
14003601	14	137	2.163274ms	2.040541ms
14003611	14	35	1.248455ms	1.261005ms
14003613	14	10	618.723µs	605.971µs
14003618	14	56	2.341899ms	940.409µs
14003664	14	80	2.025597ms	915.073µs
14003666	14	328	9.256122ms	3.832295ms
14003673	14	378	10.897188ms	4.429242ms
14003679	14	309	8.632958ms	2.783145ms
14003681	14	67	1.568373ms	2.088321ms
14003688	14	227	8.611462ms	3.121076ms
14003704	14	82	778.373µs	773.636µs
14003719	14	280	10.442097ms	2.763889ms
14003730	14	279	8.451589ms	5.164529ms
14003766	14	263	9.177349ms	3.321891ms
14003807	14	0	362ns	361ns
14003812	14	87	3.707842ms	1.500685ms
14003819	14	166	5.215182ms	1.945731ms
14003839	14	187	4.8296ms	2.929722ms
14003842	14	89	4.21046ms	1.792441ms
14003925	14	181	4.388521ms	2.58639ms
14003951	14	33	722.08µs	726.275µs
14003960	14	72	2.50069ms	1.073075ms
14003979	14	49	1.462703ms	1.458851ms
14004016	14	201	7.435806ms	21.953071ms
14004037	14	173	4.856744ms	3.97262ms
14004047	14	245	6.295975ms	4.578478ms
14004069	14	28	941.584µs	923.649µs
14004076	14	207	6.433252ms	3.791917ms
14004139	14	245	5.579702ms	2.457422ms
14004153	14	176	5.584083ms	3.246608ms
14004219	14	187	5.77912ms	3.517168ms
14004221	14	405	13.726924ms	6.808038ms
14004227	14	38	1.600324ms	1.614199ms
14004236	14	181	6.515797ms	2.530064ms
14004264	14	469	9.507611ms	3.971503ms
14004267	14	60	1.931987ms	1.148655ms
14004274	14	443	13.288895ms	5.222165ms
14004292	14	115	3.864147ms	1.691239ms
14004313	14	190	8.08815ms	5.396967ms
14004318	14	0	309ns	324ns
14004321	14	66	2.388127ms	1.570748ms
14004354	14	337	13.427222ms	4.808125ms
14004401	14	119	3.741575ms	1.533122ms
14004429	14	47	993.13µs	997.28µs
14004462	14	98	2.523887ms	1.350726ms
14004483	14	388	11.103255ms	5.148152ms
14004522	14	690	8.448116ms	17.282646ms
14004524	14	118	3.242749ms	1.979927ms
14004529	14	192	5.281571ms	3.042692ms
14004558	14	340	14.35959ms	6.469863ms
14004559	14	99	2.753036ms	1.243043ms
14004565	14	100	5.597521ms	22.715661ms
