Block No	Threads	Block Size	Williams Time
18004248	16	111	1.027000ms
18004249	16	73	0.702000ms
18004250	16	128	0.716000ms
18004251	16	93	0.321000ms
18004252	16	99	0.590000ms
18004253	16	89	0.689000ms
18004254	16	69	0.683000ms
18004255	16	158	0.809000ms
18004256	16	85	0.989000ms
18004257	16	140	0.359000ms
18004258	16	143	0.335000ms
18004259	16	127	1.183000ms
18004260	16	77	0.625000ms
18004261	16	122	0.833000ms
18004262	16	86	0.291000ms
18004263	16	123	1.028000ms
18004264	16	145	0.775000ms
18004265	16	85	0.622000ms
18004266	16	129	0.327000ms
18004267	16	103	0.313000ms
18004268	16	132	0.691000ms
18004269	16	117	0.280000ms
18004270	16	201	0.845000ms
18004271	16	100	0.633000ms
18004272	16	102	0.321000ms
18004273	16	131	1.110000ms
18004274	16	144	0.339000ms
18004275	16	124	0.597000ms
18004276	16	171	0.857000ms
18004277	16	131	0.996000ms
18004278	16	113	0.791000ms
18004279	16	140	0.413000ms
18004280	16	120	1.080000ms
18004281	16	131	0.310000ms
18004282	16	143	0.865000ms
18004283	16	149	0.709000ms
18004284	16	120	1.248000ms
18004285	16	181	0.625000ms
18004286	16	114	0.398000ms
18004287	16	277	0.809000ms
18004288	16	93	0.595000ms
18004289	16	70	1.009000ms
18004290	16	145	0.644000ms
18004291	16	106	0.297000ms
18004292	16	103	0.666000ms
18004293	16	83	0.665000ms
18004294	16	131	0.413000ms
18004295	16	126	1.112000ms
18004296	16	84	0.518000ms
18004297	16	120	1.141000ms
18004298	16	93	0.246000ms
18004299	16	113	0.682000ms
18004300	16	108	0.969000ms
18004301	16	106	0.286000ms
18004302	16	118	0.308000ms
18004303	16	104	0.293000ms
18004304	16	154	0.792000ms
18004305	16	117	0.699000ms
18004306	16	64	0.950000ms
18004307	16	159	1.125000ms
18004308	16	82	0.329000ms
18004309	16	117	0.737000ms
18004310	16	140	0.660000ms
18004311	16	91	0.642000ms
18004312	16	109	0.671000ms
18004313	16	118	0.314000ms
18004314	16	82	0.332000ms
18004315	16	144	1.005000ms
18004316	16	102	0.777000ms
18004317	16	114	0.668000ms
18004318	16	83	0.295000ms
18004319	16	184	0.634000ms
18004320	16	117	0.590000ms
18004321	16	107	1.387000ms
18004322	16	114	0.781000ms
18004323	16	110	0.353000ms
18004324	16	126	0.296000ms
18004325	16	125	0.330000ms
18004326	16	108	1.120000ms
18004327	16	90	0.735000ms
18004328	16	122	0.308000ms
18004329	16	138	0.351000ms
18004330	16	58	0.652000ms
18004331	16	150	0.720000ms
18004332	16	93	0.816000ms
18004333	16	123	1.205000ms
18004334	16	93	0.955000ms
18004335	16	148	0.821000ms
18004336	16	102	0.762000ms
18004337	16	123	0.343000ms
18004338	16	109	0.311000ms
18004339	16	124	0.279000ms
18004340	16	75	0.732000ms
18004341	16	116	0.363000ms
18004342	16	95	0.294000ms
18004343	16	132	0.558000ms
18004344	16	110	1.216000ms
18004345	16	100	0.674000ms
18004346	16	100	0.342000ms
18004347	16	122	0.357000ms
18004348	16	109	0.753000ms
18004349	16	133	0.398000ms
18004350	16	104	0.742000ms
18004351	16	136	0.685000ms
18004352	16	97	1.031000ms
18004353	16	113	0.341000ms
18004354	16	83	0.295000ms
18004355	16	132	0.752000ms
18004356	16	103	0.664000ms
18004357	16	110	1.121000ms
18004358	16	57	0.646000ms
18004359	16	196	0.897000ms
18004360	16	131	0.717000ms
18004361	16	118	0.296000ms
18004362	16	118	0.989000ms
18004363	16	127	0.894000ms
18004364	16	136	0.319000ms
18004365	16	173	0.772000ms
18004366	16	128	0.286000ms
18004367	16	73	0.922000ms
18004368	16	142	0.315000ms
18004369	16	96	0.322000ms
18004370	16	92	1.172000ms
18004371	16	155	0.546000ms
18004372	16	125	0.844000ms
18004373	16	103	0.800000ms
18004374	16	403	0.704000ms
18004375	16	129	0.724000ms
18004376	16	141	0.460000ms
18004377	16	127	1.036000ms
18004378	16	113	0.299000ms
18004379	16	164	0.782000ms
18004380	16	118	1.158000ms
18004381	16	136	0.329000ms
18004382	16	112	0.680000ms
18004383	16	180	0.337000ms
18004384	16	112	1.024000ms
18004385	16	114	0.703000ms
18004386	16	129	0.286000ms
18004387	16	60	0.680000ms
18004388	16	150	0.335000ms
18004389	16	119	0.694000ms
18004390	16	79	0.751000ms
18004391	16	123	1.186000ms
18004392	16	112	0.679000ms
18004393	16	135	0.819000ms
18004394	16	158	0.773000ms
18004395	16	56	1.010000ms
18004396	16	115	0.704000ms
18004397	16	125	0.707000ms
18004398	16	130	0.346000ms
18004399	16	90	0.707000ms
18004400	16	109	0.660000ms
18004401	16	137	1.151000ms
18004402	16	160	1.149000ms
18004403	16	102	0.482000ms
18004404	16	137	0.669000ms
18004405	16	179	0.854000ms
18004406	16	123	0.681000ms
18004407	16	105	0.746000ms
18004408	16	173	0.718000ms
18004409	16	130	0.352000ms
18004410	16	195	0.745000ms
18004411	16	117	1.085000ms
18004412	16	121	1.148000ms
18004413	16	106	0.832000ms
18004414	16	145	0.756000ms
18004415	16	88	0.693000ms
18004416	16	115	0.810000ms
18004417	16	147	0.397000ms
18004418	16	77	0.300000ms
18004419	16	142	0.338000ms
18004420	16	122	1.098000ms
18004421	16	127	0.751000ms
18004422	16	94	1.114000ms
18004423	16	60	0.474000ms
18004424	16	182	0.414000ms
18004425	16	112	0.787000ms
18004426	16	110	0.983000ms
18004427	16	105	0.396000ms
18004428	16	106	0.918000ms
18004429	16	141	0.358000ms
18004430	16	110	0.778000ms
18004431	16	163	0.890000ms
18004432	16	104	1.179000ms
18004433	16	114	0.773000ms
18004434	16	123	0.304000ms
18004435	16	177	0.723000ms
18004436	16	85	1.037000ms
18004437	16	111	0.304000ms
18004438	16	131	0.711000ms
18004439	16	137	0.315000ms
18004440	16	123	0.732000ms
18004441	16	122	1.177000ms
18004442	16	113	0.763000ms
18004443	16	107	0.710000ms
18004444	16	120	1.020000ms
18004445	16	126	0.697000ms
18004446	16	99	0.282000ms
18004447	16	251	0.460000ms
18004448	16	142	0.339000ms
18004449	16	139	0.803000ms
18004450	16	118	0.682000ms
18004451	16	110	0.467000ms
18004452	16	99	1.137000ms
18004453	16	72	0.232000ms
18004454	16	173	1.179000ms
18004455	16	108	0.747000ms
18004456	16	131	0.382000ms
18004457	16	122	0.709000ms
18004458	16	118	0.277000ms
18004459	16	144	0.594000ms
18004460	16	136	0.668000ms
18004461	16	126	1.285000ms
18004462	16	116	0.797000ms
18004463	16	103	1.071000ms
18004464	16	166	0.817000ms
18004465	16	126	0.811000ms
18004466	16	104	0.622000ms
18004467	16	126	0.833000ms
18004468	16	75	0.542000ms
18004469	16	116	0.749000ms
18004470	16	128	1.150000ms
18004471	16	126	0.647000ms
18004472	16	112	0.476000ms
18004473	16	126	1.049000ms
18004474	16	120	0.701000ms
18004475	16	125	0.855000ms
18004476	16	146	0.740000ms
18004477	16	125	0.298000ms
18004478	16	115	0.673000ms
18004479	16	124	1.211000ms
18004480	16	130	1.122000ms
18004481	16	142	0.845000ms
18004482	16	121	0.352000ms
18004483	16	124	0.782000ms
18004484	16	171	0.845000ms
18004485	16	139	0.667000ms
18004486	16	136	0.899000ms
18004487	16	126	0.540000ms
18004488	16	144	0.659000ms
18004489	16	126	1.023000ms
18004490	16	123	1.153000ms
18004491	16	53	0.679000ms
18004492	16	152	0.797000ms
18004493	16	111	0.686000ms
18004494	16	109	0.631000ms
18004495	16	122	0.702000ms
18004496	16	129	0.570000ms
18004497	16	89	1.090000ms
18004498	16	136	0.371000ms
18004499	16	126	0.333000ms
18004500	16	117	1.201000ms
18004501	16	98	0.479000ms
18004502	16	140	1.041000ms
18004503	16	126	0.692000ms
18004504	16	145	0.647000ms
18004505	16	108	0.944000ms
18004506	16	111	0.523000ms
18004507	16	123	0.637000ms
18004508	16	143	0.539000ms
18004509	16	174	0.688000ms
18004510	16	141	1.193000ms
18004511	16	83	0.570000ms
18004512	16	127	0.881000ms
18004513	16	122	0.622000ms
18004514	16	125	0.655000ms
18004515	16	135	0.758000ms
18004516	16	115	0.530000ms
18004517	16	171	0.581000ms
18004518	16	109	0.615000ms
18004519	16	126	0.998000ms
18004520	16	108	0.754000ms
18004521	16	119	0.281000ms
18004522	16	119	1.170000ms
18004523	16	109	0.563000ms
18004524	16	352	0.699000ms
18004525	16	154	0.735000ms
18004526	16	121	0.306000ms
18004527	16	150	1.109000ms
18004528	16	109	0.685000ms
18004529	16	139	0.609000ms
18004530	16	166	0.712000ms
18004531	16	148	0.587000ms
18004532	16	97	1.085000ms
18004533	16	125	0.434000ms
18004534	16	146	0.510000ms
18004535	16	107	0.981000ms
18004536	16	101	0.308000ms
18004537	16	126	0.798000ms
18004538	16	118	0.572000ms
18004539	16	135	0.624000ms
18004540	16	168	0.803000ms
18004541	16	124	0.486000ms
18004542	16	105	0.929000ms
18004543	16	132	1.174000ms
18004544	16	130	0.611000ms
18004545	16	121	0.746000ms
18004546	16	119	0.746000ms
18004547	16	105	0.544000ms
18004548	16	99	0.700000ms
18004549	16	102	0.487000ms
18004550	16	123	1.025000ms
18004551	16	122	0.672000ms
18004552	16	134	0.658000ms
18004553	16	173	0.573000ms
18004554	16	110	0.476000ms
18004555	16	131	0.678000ms
18004556	16	136	1.110000ms
18004557	16	118	0.422000ms
18004558	16	113	0.985000ms
18004559	16	147	0.620000ms
18004560	16	116	0.680000ms
18004561	16	149	0.317000ms
18004562	16	111	0.587000ms
18004563	16	175	0.552000ms
18004564	16	111	0.280000ms
18004565	16	107	0.652000ms
18004566	16	106	0.347000ms
18004567	16	121	0.727000ms
18004568	16	105	1.123000ms
18004569	16	113	1.194000ms
18004570	16	129	0.766000ms
18004571	16	85	0.637000ms
18004572	16	128	0.296000ms
18004573	16	103	0.588000ms
18004574	16	195	1.041000ms
18004575	16	139	0.633000ms
18004576	16	117	0.633000ms
18004577	16	138	0.785000ms
18004578	16	143	0.618000ms
18004579	16	149	0.594000ms
18004580	16	114	1.101000ms
18004581	16	130	0.735000ms
18004582	16	102	1.074000ms
18004583	16	117	0.520000ms
18004584	16	130	0.642000ms
18004585	16	131	0.631000ms
18004586	16	146	0.798000ms
18004587	16	65	0.645000ms
18004588	16	139	0.647000ms
18004589	16	141	0.988000ms
18004590	16	142	1.031000ms
18004591	16	98	1.146000ms
18004592	16	117	0.579000ms
18004593	16	132	0.565000ms
18004594	16	95	0.297000ms
18004595	16	136	0.670000ms
18004596	16	129	1.007000ms
18004597	16	103	0.303000ms
18004598	16	103	0.797000ms
18004599	16	125	1.278000ms
18004600	16	96	0.726000ms
18004601	16	93	0.287000ms
18004602	16	149	1.180000ms
18004603	16	177	0.380000ms
18004604	16	173	1.103000ms
18004605	16	125	0.661000ms
18004606	16	169	0.344000ms
18004607	16	152	0.364000ms
18004608	16	107	0.293000ms
18004609	16	161	0.316000ms
18004610	16	105	0.589000ms
18004611	16	150	1.080000ms
18004612	16	105	1.141000ms
18004613	16	117	0.499000ms
18004614	16	202	0.452000ms
18004615	16	99	0.704000ms
18004616	16	97	1.038000ms
18004617	16	138	0.343000ms
18004618	16	127	0.315000ms
18004619	16	170	0.946000ms
18004620	16	120	0.786000ms
18004621	16	161	0.322000ms
18004622	16	104	1.146000ms
18004623	16	73	0.924000ms
18004624	16	443	0.458000ms
18004625	16	238	0.759000ms
18004626	16	124	0.324000ms
18004627	16	105	0.250000ms
18004628	16	180	0.361000ms
18004629	16	145	0.306000ms
18004630	16	120	1.135000ms
18004631	16	173	1.278000ms
18004632	16	119	0.332000ms
18004633	16	151	0.310000ms
18004634	16	128	1.201000ms
18004635	16	115	0.657000ms
18004636	16	154	0.340000ms
18004637	16	129	1.117000ms
18004638	16	152	0.918000ms
18004639	16	148	0.311000ms
18004640	16	126	0.760000ms
18004641	16	116	0.309000ms
18004642	16	165	0.410000ms
18004643	16	123	0.360000ms
18004644	16	121	1.026000ms
18004645	16	132	1.194000ms
18004646	16	145	0.911000ms
18004647	16	146	0.286000ms
18004648	16	165	0.516000ms
18004649	16	128	0.320000ms
18004650	16	99	0.625000ms
18004651	16	178	1.091000ms
18004652	16	129	0.554000ms
18004653	16	130	0.325000ms
18004654	16	163	0.350000ms
18004655	16	106	1.144000ms
18004656	16	193	0.427000ms
18004657	16	100	0.628000ms
18004658	16	105	0.919000ms
18004659	16	134	0.550000ms
18004660	16	100	0.698000ms
18004661	16	109	0.786000ms
18004662	16	102	1.067000ms
18004663	16	134	1.291000ms
18004664	16	62	0.803000ms
18004665	16	83	1.054000ms
18004666	16	98	0.912000ms
18004667	16	81	0.284000ms
18004668	16	172	0.300000ms
18004669	16	91	0.592000ms
18004670	16	106	0.688000ms
18004671	16	138	0.328000ms
18004672	16	452	0.571000ms
18004673	16	111	1.017000ms
18004674	16	124	1.275000ms
18004675	16	127	0.727000ms
18004676	16	89	0.272000ms
18004677	16	203	0.380000ms
18004678	16	94	0.657000ms
18004679	16	90	0.990000ms
18004680	16	105	0.949000ms
18004681	16	115	0.357000ms
18004682	16	137	0.314000ms
18004683	16	62	0.364000ms
18004684	16	203	0.389000ms
18004685	16	103	1.193000ms
18004686	16	110	1.130000ms
18004687	16	122	0.817000ms
18004688	16	119	0.377000ms
18004689	16	128	0.363000ms
18004690	16	128	0.641000ms
18004691	16	131	0.341000ms
18004692	16	120	1.162000ms
18004693	16	101	1.042000ms
18004694	16	102	0.222000ms
18004695	16	106	0.778000ms
18004696	16	134	0.768000ms
18004697	16	143	0.337000ms
18004698	16	94	0.827000ms
18004699	16	114	1.173000ms
18004700	16	132	0.682000ms
18004701	16	131	0.700000ms
18004702	16	138	1.131000ms
18004703	16	255	0.327000ms
18004704	16	189	0.475000ms
18004705	16	159	1.062000ms
18004706	16	177	0.388000ms
18004707	16	191	0.359000ms
18004708	16	131	0.337000ms
18004709	16	73	1.186000ms
18004710	16	150	0.694000ms
18004711	16	88	1.065000ms
18004712	16	102	0.417000ms
18004713	16	181	0.511000ms
18004714	16	142	0.521000ms
18004715	16	164	0.786000ms
18004716	16	141	1.191000ms
18004717	16	228	0.728000ms
18004718	16	236	1.053000ms
18004719	16	181	0.451000ms
18004720	16	127	0.692000ms
18004721	16	133	0.316000ms
18004722	16	162	0.387000ms
18004723	16	134	0.319000ms
18004724	16	102	1.054000ms
18004725	16	80	1.073000ms
18004726	16	193	0.715000ms
18004727	16	120	0.265000ms
18004728	16	111	0.273000ms
18004729	16	125	0.677000ms
18004730	16	173	0.786000ms
18004731	16	116	1.008000ms
18004732	16	165	0.355000ms
18004733	16	82	0.303000ms
18004734	16	89	0.367000ms
18004735	16	133	1.193000ms
18004736	16	112	0.936000ms
18004737	16	114	0.318000ms
18004738	16	115	1.114000ms
18004739	16	68	0.245000ms
18004740	16	164	0.793000ms
18004741	16	108	1.311000ms
18004742	16	139	0.345000ms
18004743	16	112	0.302000ms
18004744	16	96	0.273000ms
18004745	16	123	1.067000ms
18004746	16	94	0.278000ms
18004747	16	116	0.328000ms
18004748	16	143	0.343000ms
18004749	16	96	0.364000ms
18004750	16	94	1.150000ms
18004751	16	99	0.315000ms
18004752	16	139	0.328000ms
18004753	16	107	0.803000ms
18004754	16	115	0.980000ms
18004755	16	95	0.706000ms
18004756	16	116	0.304000ms
18004757	16	103	1.089000ms
18004758	16	113	0.835000ms
18004759	16	118	0.386000ms
18004760	16	115	1.191000ms
18004761	16	128	0.662000ms
18004762	16	106	0.312000ms
18004763	16	129	0.691000ms
18004764	16	111	0.637000ms
18004765	16	135	0.614000ms
18004766	16	94	0.828000ms
18004767	16	114	0.299000ms
18004768	16	166	0.959000ms
18004769	16	115	1.231000ms
18004770	16	112	0.633000ms
18004771	16	108	0.802000ms
18004772	16	178	0.374000ms
18004773	16	114	0.715000ms
18004774	16	141	0.720000ms
18004775	16	134	1.114000ms
18004776	16	230	0.436000ms
18004777	16	131	1.301000ms
18004778	16	134	0.668000ms
18004779	16	150	0.775000ms
18004780	16	113	0.635000ms
18004781	16	108	0.669000ms
18004782	16	147	0.297000ms
18004783	16	56	0.251000ms
18004784	16	164	1.132000ms
18004785	16	99	0.845000ms
18004786	16	104	0.652000ms
18004787	16	95	1.263000ms
18004788	16	130	0.747000ms
18004789	16	130	0.272000ms
18004790	16	116	1.090000ms
18004791	16	115	0.707000ms
18004792	16	122	0.414000ms
18004793	16	116	0.775000ms
18004794	16	122	0.343000ms
18004795	16	137	1.257000ms
18004796	16	102	0.323000ms
18004797	16	139	1.156000ms
18004798	16	121	0.747000ms
18004799	16	112	0.327000ms
18004800	16	114	0.712000ms
18004801	16	145	0.734000ms
18004802	16	140	0.799000ms
18004803	16	116	0.917000ms
18004804	16	128	1.105000ms
18004805	16	146	0.795000ms
18004806	16	140	0.375000ms
18004807	16	107	0.650000ms
18004808	16	145	0.351000ms
18004809	16	109	0.940000ms
18004810	16	86	0.855000ms
18004811	16	95	0.676000ms
18004812	16	215	1.284000ms
18004813	16	101	0.824000ms
18004814	16	92	0.661000ms
18004815	16	131	1.030000ms
18004816	16	121	0.514000ms
18004817	16	53	0.423000ms
18004818	16	406	0.853000ms
18004819	16	176	0.378000ms
18004820	16	112	0.867000ms
18004821	16	464	1.370000ms
18004822	16	157	0.343000ms
18004823	16	97	0.973000ms
18004824	16	112	0.304000ms
18004825	16	95	0.730000ms
18004826	16	162	0.752000ms
18004827	16	122	0.337000ms
18004828	16	84	0.626000ms
18004829	16	144	0.326000ms
18004830	16	106	1.179000ms
18004831	16	205	0.763000ms
18004832	16	118	0.285000ms
18004833	16	113	0.442000ms
18004834	16	116	0.980000ms
18004835	16	86	1.013000ms
18004836	16	239	0.737000ms
18004837	16	126	0.795000ms
18004838	16	80	0.308000ms
18004839	16	148	0.680000ms
18004840	16	93	1.198000ms
18004841	16	137	1.024000ms
18004842	16	115	0.700000ms
18004843	16	128	0.528000ms
18004844	16	131	0.326000ms
18004845	16	106	0.705000ms
18004846	16	125	0.346000ms
18004847	16	137	0.734000ms
18004848	16	117	1.062000ms
18004849	16	94	0.655000ms
18004850	16	142	1.295000ms
18004851	16	101	0.717000ms
18004852	16	71	0.295000ms
18004853	16	154	0.768000ms
18004854	16	86	0.286000ms
18004855	16	130	1.108000ms
18004856	16	88	0.788000ms
18004857	16	68	0.300000ms
18004858	16	124	0.687000ms
18004859	16	136	0.327000ms
18004860	16	117	1.077000ms
18004861	16	138	0.299000ms
18004862	16	151	0.329000ms
18004863	16	98	1.051000ms
18004864	16	108	0.258000ms
18004865	16	128	0.682000ms
18004866	16	119	0.655000ms
18004867	16	133	0.327000ms
18004868	16	138	0.697000ms
18004869	16	94	1.026000ms
18004870	16	120	0.730000ms
18004871	16	103	1.122000ms
18004872	16	139	0.322000ms
18004873	16	112	0.933000ms
18004874	16	110	0.287000ms
18004875	16	119	0.718000ms
18004876	16	111	0.601000ms
18004877	16	99	1.083000ms
18004878	16	133	0.710000ms
18004879	16	114	1.258000ms
18004880	16	128	0.737000ms
18004881	16	100	0.301000ms
18004882	16	134	0.670000ms
18004883	16	102	0.861000ms
18004884	16	121	0.838000ms
18004885	16	121	0.994000ms
18004886	16	142	0.300000ms
18004887	16	104	0.727000ms
18004888	16	63	1.108000ms
18004889	16	113	0.691000ms
18004890	16	148	0.993000ms
18004891	16	128	0.605000ms
18004892	16	127	1.112000ms
18004893	16	95	0.284000ms
18004894	16	141	0.696000ms
18004895	16	166	0.668000ms
18004896	16	146	0.336000ms
18004897	16	153	0.731000ms
18004898	16	106	1.218000ms
18004899	16	61	0.724000ms
18004900	16	75	0.662000ms
18004901	16	231	0.332000ms
18004902	16	129	0.306000ms
18004903	16	116	0.299000ms
18004904	16	139	1.063000ms
18004905	16	139	0.673000ms
18004906	16	150	1.168000ms
18004907	16	104	0.298000ms
18004908	16	106	0.321000ms
18004909	16	133	0.926000ms
18004910	16	123	0.691000ms
18004911	16	120	1.080000ms
18004912	16	112	0.324000ms
18004913	16	105	0.887000ms
18004914	16	136	0.558000ms
18004915	16	116	0.757000ms
18004916	16	116	1.178000ms
18004917	16	208	1.069000ms
18004918	16	150	0.754000ms
18004919	16	126	0.712000ms
18004920	16	122	0.631000ms
18004921	16	101	0.692000ms
18004922	16	91	0.239000ms
18004923	16	172	0.313000ms
18004924	16	117	0.340000ms
18004925	16	147	1.044000ms
18004926	16	112	1.092000ms
18004927	16	128	0.275000ms
18004928	16	93	0.679000ms
18004929	16	151	0.456000ms
18004930	16	156	0.752000ms
18004931	16	124	0.652000ms
18004932	16	87	1.086000ms
18004933	16	103	0.704000ms
18004934	16	132	0.318000ms
18004935	16	145	0.784000ms
18004936	16	110	1.223000ms
18004937	16	132	0.948000ms
18004938	16	128	0.317000ms
18004939	16	109	0.316000ms
18004940	16	153	1.062000ms
18004941	16	114	0.308000ms
18004942	16	131	0.919000ms
18004943	16	116	0.769000ms
18004944	16	122	1.192000ms
18004945	16	139	0.679000ms
18004946	16	115	0.368000ms
18004947	16	149	1.265000ms
18004948	16	111	0.714000ms
18004949	16	112	0.279000ms
18004950	16	136	1.001000ms
18004951	16	111	0.270000ms
18004952	16	140	0.832000ms
18004953	16	109	0.459000ms
18004954	16	118	0.893000ms
18004955	16	167	1.089000ms
18004956	16	127	1.292000ms
18004957	16	137	0.813000ms
18004958	16	119	0.356000ms
18004959	16	125	0.840000ms
18004960	16	137	0.794000ms
18004961	16	128	0.317000ms
18004962	16	135	0.710000ms
18004963	16	96	0.948000ms
18004964	16	166	0.308000ms
18004965	16	101	0.753000ms
18004966	16	94	1.169000ms
18004967	16	139	0.666000ms
18004968	16	136	0.293000ms
18004969	16	90	0.586000ms
18004970	16	462	0.608000ms
18004971	16	179	1.258000ms
18004972	16	112	0.848000ms
18004973	16	76	0.941000ms
18004974	16	146	0.829000ms
18004975	16	129	1.121000ms
18004976	16	99	0.990000ms
18004977	16	176	0.798000ms
18004978	16	108	0.287000ms
18004979	16	152	0.633000ms
18004980	16	124	0.518000ms
18004981	16	105	0.867000ms
18004982	16	129	0.553000ms
18004983	16	93	0.997000ms
18004984	16	116	1.152000ms
18004985	16	144	0.310000ms
18004986	16	126	0.649000ms
18004987	16	122	0.516000ms
18004988	16	114	1.029000ms
18004989	16	101	0.752000ms
18004990	16	165	0.363000ms
18004991	16	104	0.693000ms
18004992	16	116	0.334000ms
18004993	16	109	0.746000ms
18004994	16	175	1.249000ms
18004995	16	131	1.079000ms
18004996	16	126	0.784000ms
18004997	16	111	0.285000ms
18004998	16	149	0.312000ms
18004999	16	126	0.664000ms
18005000	16	156	0.748000ms
18005001	16	122	0.695000ms
18005002	16	186	0.361000ms
18005003	16	108	1.162000ms
18005004	16	107	0.718000ms
18005005	16	158	0.400000ms
18005006	16	129	0.821000ms
18005007	16	119	0.547000ms
18005008	16	116	1.134000ms
18005009	16	117	0.645000ms
18005010	16	134	0.641000ms
18005011	16	125	0.342000ms
18005012	16	223	0.982000ms
18005013	16	111	1.100000ms
18005014	16	130	0.983000ms
18005015	16	42	0.653000ms
18005016	16	186	0.683000ms
18005017	16	103	0.639000ms
18005018	16	118	0.694000ms
18005019	16	155	0.803000ms
18005020	16	113	0.682000ms
18005021	16	131	0.950000ms
18005022	16	80	1.175000ms
18005023	16	148	0.685000ms
18005024	16	133	0.762000ms
18005025	16	98	0.599000ms
18005026	16	121	0.579000ms
18005027	16	98	0.450000ms
18005028	16	127	1.008000ms
18005029	16	109	0.822000ms
18005030	16	115	0.826000ms
18005031	16	107	0.688000ms
18005032	16	141	0.488000ms
18005033	16	151	1.132000ms
18005034	16	122	0.610000ms
18005035	16	112	0.703000ms
18005036	16	142	1.011000ms
18005037	16	131	0.685000ms
18005038	16	146	0.680000ms
18005039	16	131	0.685000ms
18005040	16	139	0.778000ms
18005041	16	132	0.750000ms
18005042	16	136	0.561000ms
18005043	16	116	1.072000ms
18005044	16	138	0.611000ms
18005045	16	113	0.808000ms
18005046	16	138	0.297000ms
18005047	16	108	0.685000ms
18005048	16	115	0.662000ms
18005049	16	152	0.758000ms
18005050	16	113	0.681000ms
18005051	16	152	0.962000ms
18005052	16	108	0.997000ms
18005053	16	122	0.763000ms
18005054	16	126	0.726000ms
18005055	16	211	1.187000ms
18005056	16	103	0.652000ms
18005057	16	125	0.302000ms
18005058	16	129	1.101000ms
18005059	16	144	0.820000ms
18005060	16	131	0.311000ms
18005061	16	138	0.825000ms
18005062	16	107	0.605000ms
18005063	16	140	0.823000ms
18005064	16	126	1.050000ms
18005065	16	104	0.565000ms
18005066	16	148	0.750000ms
18005067	16	159	0.598000ms
18005068	16	139	0.758000ms
18005069	16	113	0.663000ms
18005070	16	160	1.025000ms
18005071	16	120	0.761000ms
18005072	16	131	0.506000ms
18005073	16	169	1.139000ms
18005074	16	81	0.322000ms
18005075	16	193	0.826000ms
18005076	16	114	0.663000ms
18005077	16	119	0.997000ms
18005078	16	137	0.536000ms
18005079	16	105	1.015000ms
18005080	16	139	0.927000ms
18005081	16	113	0.691000ms
18005082	16	163	0.554000ms
18005083	16	150	1.247000ms
18005084	16	119	1.060000ms
18005085	16	131	0.720000ms
18005086	16	132	0.663000ms
18005087	16	102	0.567000ms
18005088	16	163	0.976000ms
18005089	16	99	0.704000ms
18005090	16	162	0.900000ms
18005091	16	92	0.551000ms
18005092	16	161	1.083000ms
18005093	16	118	1.248000ms
18005094	16	127	0.778000ms
18005095	16	109	0.760000ms
18005096	16	128	0.649000ms
18005097	16	124	0.620000ms
18005098	16	184	0.776000ms
18005099	16	123	1.035000ms
18005100	16	129	0.716000ms
18005101	16	114	0.676000ms
18005102	16	129	0.876000ms
18005103	16	123	0.956000ms
18005104	16	118	1.212000ms
18005105	16	123	1.159000ms
18005106	16	128	0.615000ms
18005107	16	142	0.664000ms
18005108	16	136	0.600000ms
18005109	16	110	0.690000ms
18005110	16	122	0.814000ms
18005111	16	118	0.561000ms
18005112	16	148	0.889000ms
18005113	16	108	1.016000ms
18005114	16	135	1.296000ms
18005115	16	120	0.779000ms
18005116	16	110	0.642000ms
18005117	16	172	1.043000ms
18005118	16	364	0.835000ms
18005119	16	112	0.831000ms
18005120	16	133	0.760000ms
18005121	16	104	1.163000ms
18005122	16	136	0.889000ms
18005123	16	160	0.720000ms
18005124	16	120	1.115000ms
18005125	16	129	1.002000ms
18005126	16	97	0.751000ms
18005127	16	114	0.628000ms
18005128	16	132	0.888000ms
18005129	16	110	0.795000ms
18005130	16	136	1.002000ms
18005131	16	110	0.319000ms
18005132	16	111	0.535000ms
18005133	16	158	0.814000ms
18005134	16	116	1.153000ms
18005135	16	117	0.498000ms
18005136	16	93	0.874000ms
18005137	16	121	0.965000ms
18005138	16	128	0.720000ms
18005139	16	144	0.858000ms
18005140	16	133	0.605000ms
18005141	16	134	0.754000ms
18005142	16	121	0.612000ms
18005143	16	64	0.835000ms
18005144	16	211	1.367000ms
18005145	16	100	0.953000ms
18005146	16	131	0.669000ms
18005147	16	85	0.792000ms
18005148	16	146	0.596000ms
18005149	16	88	0.817000ms
18005150	16	123	0.293000ms
18005151	16	122	0.741000ms
18005152	16	101	0.241000ms
18005153	16	91	1.068000ms
18005154	16	151	0.840000ms
18005155	16	126	0.299000ms
18005156	16	85	1.159000ms
18005157	16	160	0.542000ms
18005158	16	125	0.810000ms
18005159	16	154	0.723000ms
18005160	16	97	0.970000ms
18005161	16	132	0.894000ms
18005162	16	117	0.307000ms
18005163	16	108	0.310000ms
18005164	16	125	0.684000ms
18005165	16	94	0.686000ms
18005166	16	106	1.196000ms
18005167	16	115	0.313000ms
18005168	16	126	0.746000ms
18005169	16	153	0.508000ms
18005170	16	97	1.035000ms
18005171	16	128	0.357000ms
18005172	16	124	0.973000ms
18005173	16	135	0.575000ms
18005174	16	111	0.732000ms
18005175	16	126	0.718000ms
18005176	16	109	1.092000ms
18005177	16	81	0.872000ms
18005178	16	122	0.318000ms
18005179	16	137	0.569000ms
