Block No	Threads	Block Size	Williams Time
18000212	16	166	0.721000ms
18000213	16	149	0.307000ms
18000214	16	123	0.305000ms
18000215	16	149	0.836000ms
18000216	16	136	0.390000ms
18000217	16	157	0.694000ms
18000218	16	173	1.174000ms
18000219	16	147	0.408000ms
18000220	16	151	1.085000ms
18000221	16	109	0.548000ms
18000222	16	221	0.424000ms
18000223	16	144	0.362000ms
18000224	16	145	0.747000ms
18000225	16	214	1.045000ms
18000226	16	166	0.418000ms
18000227	16	149	0.727000ms
18000228	16	146	1.100000ms
18000229	16	131	0.453000ms
18000230	16	116	2.036000ms
18000231	16	126	0.688000ms
18000232	16	164	0.724000ms
18000233	16	158	0.395000ms
18000234	16	127	0.749000ms
18000235	16	135	0.961000ms
18000236	16	118	0.648000ms
18000237	16	158	0.807000ms
18000238	16	112	0.578000ms
18000239	16	123	0.955000ms
18000240	16	125	0.998000ms
18000241	16	126	0.330000ms
18000242	16	176	0.736000ms
18000243	16	116	1.192000ms
18000244	16	124	0.669000ms
18000245	16	103	0.907000ms
18000246	16	131	0.617000ms
18000247	16	120	0.715000ms
18000248	16	136	1.083000ms
18000249	16	100	0.683000ms
18000250	16	152	0.910000ms
18000251	16	132	0.637000ms
18000252	16	176	0.809000ms
18000253	16	184	0.621000ms
18000254	16	148	1.056000ms
18000255	16	128	0.933000ms
18000256	16	126	1.262000ms
18000257	16	131	1.061000ms
18000258	16	117	0.693000ms
18000259	16	136	0.795000ms
18000260	16	120	1.188000ms
18000261	16	119	0.675000ms
18000262	16	136	0.565000ms
18000263	16	148	0.578000ms
18000264	16	172	0.987000ms
18000265	16	88	0.890000ms
18000266	16	168	0.655000ms
18000267	16	148	0.672000ms
18000268	16	133	0.569000ms
18000269	16	155	0.860000ms
18000270	16	105	1.143000ms
18000271	16	125	0.496000ms
18000272	16	171	0.576000ms
18000273	16	114	0.721000ms
18000274	16	147	0.635000ms
18000275	16	160	0.815000ms
18000276	16	120	0.655000ms
18000277	16	143	0.581000ms
18000278	16	113	0.659000ms
18000279	16	119	0.755000ms
18000280	16	109	1.012000ms
18000281	16	128	0.566000ms
18000282	16	176	0.639000ms
18000283	16	105	0.733000ms
18000284	16	133	1.179000ms
18000285	16	125	0.674000ms
18000286	16	116	0.843000ms
18000287	16	113	0.673000ms
18000288	16	122	0.567000ms
18000289	16	133	1.089000ms
18000290	16	115	0.785000ms
18000291	16	149	0.722000ms
18000292	16	114	0.283000ms
18000293	16	129	0.607000ms
18000294	16	167	0.657000ms
18000295	16	122	0.680000ms
18000296	16	157	0.759000ms
18000297	16	237	0.383000ms
18000298	16	147	1.111000ms
18000299	16	156	1.123000ms
18000300	16	117	0.890000ms
18000301	16	108	0.863000ms
18000302	16	131	0.617000ms
18000303	16	129	0.490000ms
18000304	16	157	0.562000ms
18000305	16	122	0.818000ms
18000306	16	133	0.587000ms
18000307	16	218	0.553000ms
18000308	16	118	0.746000ms
18000309	16	108	0.996000ms
18000310	16	135	0.731000ms
18000311	16	110	0.700000ms
18000312	16	182	0.739000ms
18000313	16	120	1.222000ms
18000314	16	105	0.549000ms
18000315	16	128	0.654000ms
18000316	16	111	0.492000ms
18000317	16	140	0.813000ms
18000318	16	148	0.933000ms
18000319	16	165	1.104000ms
18000320	16	140	0.853000ms
18000321	16	119	0.784000ms
18000322	16	155	0.655000ms
18000323	16	153	0.828000ms
18000324	16	147	1.231000ms
18000325	16	150	0.821000ms
18000326	16	92	0.651000ms
18000327	16	169	0.756000ms
18000328	16	125	0.582000ms
18000329	16	127	0.689000ms
18000330	16	101	0.697000ms
18000331	16	161	0.326000ms
18000332	16	139	1.067000ms
18000333	16	142	0.516000ms
18000334	16	125	0.773000ms
18000335	16	120	0.607000ms
18000336	16	178	0.324000ms
18000337	16	156	0.653000ms
18000338	16	120	1.150000ms
18000339	16	131	0.539000ms
18000340	16	127	0.719000ms
18000341	16	119	0.982000ms
18000342	16	457	0.574000ms
18000343	16	143	0.513000ms
18000344	16	156	0.743000ms
18000345	16	145	0.680000ms
18000346	16	136	0.448000ms
18000347	16	154	0.774000ms
18000348	16	119	0.924000ms
18000349	16	161	0.654000ms
18000350	16	127	0.607000ms
18000351	16	101	0.580000ms
18000352	16	160	0.850000ms
18000353	16	123	1.157000ms
18000354	16	161	0.741000ms
18000355	16	150	0.563000ms
18000356	16	139	0.657000ms
18000357	16	164	1.084000ms
18000358	16	103	0.292000ms
18000359	16	116	0.746000ms
18000360	16	150	0.700000ms
18000361	16	136	0.528000ms
18000362	16	153	0.765000ms
18000363	16	136	0.559000ms
18000364	16	133	0.602000ms
18000365	16	188	0.652000ms
18000366	16	106	0.975000ms
18000367	16	133	0.851000ms
18000368	16	112	1.157000ms
18000369	16	122	0.786000ms
18000370	16	135	0.900000ms
18000371	16	127	0.445000ms
18000372	16	156	0.422000ms
18000373	16	205	0.889000ms
18000374	16	118	0.380000ms
18000375	16	155	0.735000ms
18000376	16	119	0.821000ms
18000377	16	129	1.071000ms
18000378	16	134	0.613000ms
18000379	16	80	0.692000ms
18000380	16	162	0.794000ms
18000381	16	137	0.684000ms
18000382	16	135	1.079000ms
18000383	16	163	0.903000ms
18000384	16	132	0.590000ms
18000385	16	120	0.548000ms
18000386	16	131	0.691000ms
18000387	16	136	1.103000ms
18000388	16	124	0.641000ms
18000389	16	130	0.997000ms
18000390	16	124	0.658000ms
18000391	16	131	0.653000ms
18000392	16	172	0.722000ms
18000393	16	113	0.729000ms
18000394	16	145	0.632000ms
18000395	16	124	1.130000ms
18000396	16	121	0.694000ms
18000397	16	130	0.893000ms
18000398	16	126	0.542000ms
18000399	16	149	0.596000ms
18000400	16	104	0.802000ms
18000401	16	123	0.607000ms
18000402	16	186	0.594000ms
18000403	16	161	1.121000ms
18000404	16	104	0.600000ms
18000405	16	151	0.866000ms
18000406	16	120	0.645000ms
18000407	16	195	0.687000ms
18000408	16	125	0.672000ms
18000409	16	153	1.241000ms
18000410	16	106	0.641000ms
18000411	16	123	0.577000ms
18000412	16	212	0.741000ms
18000413	16	151	1.023000ms
18000414	16	140	0.583000ms
18000415	16	126	0.743000ms
18000416	16	127	0.928000ms
18000417	16	150	0.653000ms
18000418	16	140	0.744000ms
18000419	16	143	0.562000ms
18000420	16	145	0.665000ms
18000421	16	136	0.573000ms
18000422	16	166	0.738000ms
18000423	16	131	0.949000ms
18000424	16	117	1.256000ms
18000425	16	157	0.832000ms
18000426	16	138	0.670000ms
18000427	16	155	0.549000ms
18000428	16	160	0.562000ms
18000429	16	118	0.801000ms
18000430	16	137	0.735000ms
18000431	16	132	0.284000ms
18000432	16	133	0.991000ms
18000433	16	182	0.654000ms
18000434	16	84	0.691000ms
18000435	16	205	0.868000ms
18000436	16	124	0.296000ms
18000437	16	149	0.551000ms
18000438	16	109	1.110000ms
18000439	16	121	0.699000ms
18000440	16	130	0.607000ms
18000441	16	134	0.589000ms
18000442	16	162	0.624000ms
18000443	16	115	1.024000ms
18000444	16	135	0.719000ms
18000445	16	124	0.487000ms
18000446	16	128	0.609000ms
18000447	16	170	0.716000ms
18000448	16	159	0.641000ms
18000449	16	163	0.639000ms
18000450	16	132	0.883000ms
18000451	16	149	0.626000ms
18000452	16	144	0.534000ms
18000453	16	141	1.127000ms
18000454	16	112	0.810000ms
18000455	16	109	0.649000ms
18000456	16	166	0.757000ms
18000457	16	119	0.682000ms
18000458	16	187	0.796000ms
18000459	16	120	0.552000ms
18000460	16	131	0.610000ms
18000461	16	102	0.719000ms
18000462	16	145	0.992000ms
18000463	16	162	0.508000ms
18000464	16	129	0.557000ms
18000465	16	211	1.014000ms
18000466	16	111	0.678000ms
18000467	16	161	1.195000ms
18000468	16	136	0.372000ms
18000469	16	115	0.736000ms
18000470	16	175	1.155000ms
18000471	16	131	0.631000ms
18000472	16	135	0.635000ms
18000473	16	125	0.726000ms
18000474	16	132	0.510000ms
18000475	16	193	0.727000ms
18000476	16	148	0.615000ms
18000477	16	176	0.758000ms
18000478	16	131	0.855000ms
18000479	16	149	0.651000ms
18000480	16	152	0.773000ms
18000481	16	158	1.026000ms
18000482	16	153	0.768000ms
18000483	16	128	0.622000ms
18000484	16	146	1.130000ms
18000485	16	146	0.761000ms
18000486	16	105	0.587000ms
18000487	16	195	0.655000ms
18000488	16	136	0.738000ms
18000489	16	167	0.372000ms
18000490	16	123	1.018000ms
18000491	16	148	0.558000ms
18000492	16	450	0.810000ms
18000493	16	212	0.791000ms
18000494	16	181	0.660000ms
18000495	16	173	0.814000ms
18000496	16	150	0.797000ms
18000497	16	146	0.653000ms
18000498	16	137	0.736000ms
18000499	16	179	0.585000ms
18000500	16	125	1.182000ms
18000501	16	115	0.781000ms
18000502	16	139	0.664000ms
18000503	16	134	0.684000ms
18000504	16	130	0.600000ms
18000505	16	135	0.713000ms
18000506	16	126	0.453000ms
18000507	16	132	0.479000ms
18000508	16	172	0.732000ms
18000509	16	131	0.505000ms
18000510	16	107	1.024000ms
18000511	16	157	0.841000ms
18000512	16	138	0.552000ms
18000513	16	114	0.873000ms
18000514	16	138	1.201000ms
18000515	16	109	0.595000ms
18000516	16	140	0.916000ms
18000517	16	151	0.652000ms
18000518	16	133	0.714000ms
18000519	16	155	0.628000ms
18000520	16	152	0.950000ms
18000521	16	134	0.987000ms
18000522	16	154	0.603000ms
18000523	16	120	0.589000ms
18000524	16	156	0.726000ms
18000525	16	104	0.558000ms
18000526	16	160	0.710000ms
18000527	16	152	0.646000ms
18000528	16	141	0.671000ms
18000529	16	122	0.711000ms
18000530	16	114	1.101000ms
18000531	16	107	1.310000ms
18000532	16	168	0.766000ms
18000533	16	115	0.564000ms
18000534	16	119	0.346000ms
18000535	16	111	0.717000ms
18000536	16	135	0.353000ms
18000537	16	115	0.591000ms
18000538	16	193	0.639000ms
18000539	16	181	0.655000ms
18000540	16	146	0.721000ms
18000541	16	121	1.066000ms
18000542	16	131	0.725000ms
18000543	16	143	0.699000ms
18000544	16	131	0.579000ms
18000545	16	128	0.791000ms
18000546	16	157	1.188000ms
18000547	16	118	0.296000ms
18000548	16	159	0.711000ms
18000549	16	131	0.728000ms
18000550	16	106	0.929000ms
18000551	16	108	0.716000ms
18000552	16	163	0.759000ms
18000553	16	163	0.731000ms
18000554	16	135	0.587000ms
18000555	16	140	0.717000ms
18000556	16	98	0.559000ms
18000557	16	144	0.752000ms
18000558	16	152	0.388000ms
18000559	16	157	1.195000ms
18000560	16	126	0.624000ms
18000561	16	146	1.226000ms
18000562	16	174	0.635000ms
18000563	16	150	0.743000ms
18000564	16	139	0.664000ms
18000565	16	116	0.727000ms
18000566	16	139	0.751000ms
18000567	16	175	0.740000ms
18000568	16	142	1.104000ms
18000569	16	121	1.029000ms
18000570	16	135	0.729000ms
18000571	16	123	0.333000ms
18000572	16	169	0.542000ms
18000573	16	125	0.310000ms
18000574	16	126	0.728000ms
18000575	16	133	1.158000ms
18000576	16	211	0.657000ms
18000577	16	179	0.827000ms
18000578	16	130	0.635000ms
18000579	16	121	0.988000ms
18000580	16	98	0.611000ms
